Date,Open,High,Low,Close,Adj Close,Volume
2017-06-12,45420.000000,45600.000000,45140.000000,45380.000000,39880.152344,10954300
2017-06-13,45140.000000,45620.000000,45140.000000,45400.000000,39897.734375,8624900
2017-06-14,45800.000000,46060.000000,45240.000000,45360.000000,39862.585938,10166700
2017-06-15,45680.000000,45920.000000,45180.000000,45680.000000,40143.792969,9657000
2017-06-16,45500.000000,45940.000000,45460.000000,45580.000000,40055.921875,17403450
2017-06-19,45580.000000,46560.000000,45560.000000,46560.000000,40917.140625,11303900
2017-06-20,47240.000000,48140.000000,47220.000000,48140.000000,42305.656250,15045000
2017-06-21,47740.000000,48120.000000,47480.000000,47480.000000,41725.648438,9973650
2017-06-22,47960.000000,48080.000000,47720.000000,47960.000000,42147.464844,11455800
2017-06-23,47600.000000,47780.000000,47420.000000,47620.000000,41848.683594,9515100
2017-06-26,47520.000000,48360.000000,47520.000000,48280.000000,42428.683594,8552800
2017-06-27,48220.000000,48400.000000,47900.000000,48300.000000,42446.269531,9616750
2017-06-28,47600.000000,48000.000000,47560.000000,47700.000000,41918.980469,9572500
2017-06-29,48040.000000,48320.000000,47940.000000,47940.000000,42253.914063,8306550
2017-06-30,47500.000000,47620.000000,47100.000000,47540.000000,41901.355469,11877550
2017-07-03,47500.000000,47780.000000,47120.000000,47220.000000,41619.308594,6805550
2017-07-04,47160.000000,47400.000000,46900.000000,47000.000000,41425.406250,7961000
2017-07-05,46820.000000,47680.000000,46780.000000,47580.000000,41936.613281,10640250
2017-07-06,48000.000000,48100.000000,47720.000000,48060.000000,42359.675781,10923050
2017-07-07,47740.000000,48120.000000,47620.000000,47860.000000,42183.398438,8131900
2017-07-10,48500.000000,48900.000000,48320.000000,48660.000000,42888.507813,10792750
2017-07-11,48640.000000,49000.000000,48280.000000,49000.000000,43188.187500,9717800
2017-07-12,49000.000000,50000.000000,48840.000000,49880.000000,43963.808594,9486150
2017-07-13,50080.000000,50940.000000,50040.000000,50560.000000,44563.152344,16034150
2017-07-14,51000.000000,51080.000000,50420.000000,50480.000000,44492.652344,8239000
2017-07-17,50900.000000,51020.000000,50520.000000,50640.000000,44633.667969,8976100
